Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,Continent
Algeria,Wheat,2002,89,816.55,17.85,10739,Africa
Algeria,Maize,2004,89,3747.86,17.38,31729,Africa
Algeria,Potatoes,2004,89,3747.86,17.38,203585,Africa
Algeria,"Rice, paddy",2004,89,3747.86,17.38,12829,Africa
Algeria,Sorghum,2004,89,3747.86,17.38,43316,Africa
Algeria,Wheat,2004,89,3747.86,17.38,13582,Africa
Algeria,Maize,2005,89,3662.87,17.19,33864,Africa
Algeria,Potatoes,2005,89,3662.87,17.19,216267,Africa
Algeria,"Rice, paddy",2005,89,3662.87,17.19,12998,Africa
Algeria,Sorghum,2005,89,3662.87,17.19,33486,Africa
Algeria,Wheat,2005,89,3662.87,17.19,15057,Africa
Algeria,Maize,2006,89,4110.72,18.13,65668,Africa
Algeria,Potatoes,2006,89,4110.72,18.13,220689,Africa
Algeria,"Rice, paddy",2006,89,4110.72,18.13,12769,Africa
Algeria,Sorghum,2006,89,4110.72,18.13,56728,Africa
Algeria,Wheat,2006,89,4110.72,18.13,15068,Africa
Algeria,Maize,2007,89,5390.79,17.42,85625,Africa
Algeria,Potatoes,2007,89,5390.79,17.42,189927,Africa
Algeria,"Rice, paddy",2007,89,5390.79,17.42,13375,Africa
Algeria,Sorghum,2007,89,5390.79,17.42,119059,Africa
Algeria,Wheat,2007,89,5390.79,17.42,12742,Africa
Algeria,Maize,2008,89,11556.12,17.55,44714,Africa
Algeria,Potatoes,2008,89,11556.12,17.55,236393,Africa
Algeria,"Rice, paddy",2008,89,11556.12,17.55,13952,Africa
Algeria,Sorghum,2008,89,11556.12,17.55,61786,Africa
Algeria,Wheat,2008,89,11556.12,17.55,11038,Africa
Algeria,Maize,2009,89,3867.99,17.78,30914,Africa
Algeria,Potatoes,2009,89,3867.99,17.78,250764,Africa
Algeria,"Rice, paddy",2009,89,3867.99,17.78,14594,Africa
Algeria,Sorghum,2009,89,3867.99,17.78,90465,Africa
Algeria,Wheat,2009,89,3867.99,17.78,15975,Africa
Algeria,Maize,2010,89,1295.88,17.59,25827,Africa
Algeria,Potatoes,2010,89,1295.88,17.59,270526,Africa
Algeria,"Rice, paddy",2010,89,1295.88,17.59,15305,Africa
Algeria,Sorghum,2010,89,1295.88,17.59,30286,Africa
Algeria,Wheat,2010,89,1295.88,17.59,14838,Africa
Algeria,Maize,2011,89,13861.76,17.79,23374,Africa
Algeria,Potatoes,2011,89,13861.76,17.79,292806,Africa
Algeria,"Rice, paddy",2011,89,13861.76,17.79,16081,Africa
Algeria,Sorghum,2011,89,13861.76,17.79,100000,Africa
Algeria,Wheat,2011,89,13861.76,17.79,17405,Africa
Algeria,Maize,2012,89,17379.76,17.91,25583,Africa
Algeria,Potatoes,2012,89,17379.76,17.91,304291,Africa
Algeria,"Rice, paddy",2012,89,17379.76,17.91,16667,Africa
Algeria,Sorghum,2012,89,17379.76,17.91,206000,Africa
Algeria,Wheat,2012,89,17379.76,17.91,17639,Africa
Algeria,Maize,2013,89,17278.65,17.65,33649,Africa
Algeria,Potatoes,2013,89,17278.65,17.65,303218,Africa
Algeria,"Rice, paddy",2013,89,17278.65,17.65,17778,Africa
Algeria,Sorghum,2013,89,17278.65,17.65,60000,Africa
Algeria,Wheat,2013,89,17278.65,17.65,19100,Africa
Angola,Cassava,1990,1010,64.0,24.12,41177,Africa
Angola,Maize,1990,1010,64.0,24.12,2736,Africa
Angola,Potatoes,1990,1010,64.0,24.12,40000,Africa
Angola,"Rice, paddy",1990,1010,64.0,24.12,9512,Africa
Angola,Sweet potatoes,1990,1010,64.0,24.12,89342,Africa
Angola,Wheat,1990,1010,64.0,24.12,7995,Africa
Angola,Cassava,1991,1010,79.0,24.02,40295,Africa
Angola,Maize,1991,1010,79.0,24.02,4013,Africa
Angola,Potatoes,1991,1010,79.0,24.02,40000,Africa
Angola,"Rice, paddy",1991,1010,79.0,24.02,10000,Africa
Angola,Sweet potatoes,1991,1010,79.0,24.02,83001,Africa
Angola,Wheat,1991,1010,79.0,24.02,8000,Africa
Angola,Cassava,1992,1010,23.0,23.96,42295,Africa
Angola,Maize,1992,1010,23.0,23.96,3778,Africa
Angola,Potatoes,1992,1010,23.0,23.96,40000,Africa
Angola,"Rice, paddy",1992,1010,23.0,23.96,9106,Africa
Angola,Sweet potatoes,1992,1010,23.0,23.96,90000,Africa
Angola,Wheat,1992,1010,23.0,23.96,8000,Africa
Angola,Cassava,1993,1010,169.0,24.15,42295,Africa
Angola,Maize,1993,1010,169.0,24.15,2627,Africa
Angola,Potatoes,1993,1010,169.0,24.15,70000,Africa
Angola,"Rice, paddy",1993,1010,169.0,24.15,8000,Africa
Angola,Sweet potatoes,1993,1010,169.0,24.15,88095,Africa
Angola,Wheat,1993,1010,169.0,24.15,8876,Africa
Angola,Cassava,1994,1010,25.5,24.04,58596,Africa
Angola,Maize,1994,1010,25.5,24.04,2463,Africa
Angola,Potatoes,1994,1010,25.5,24.04,90000,Africa
Angola,"Rice, paddy",1994,1010,25.5,24.04,8750,Africa
Angola,Sweet potatoes,1994,1010,25.5,24.04,83192,Africa
Angola,Wheat,1994,1010,25.5,24.04,10000,Africa
Angola,Cassava,1995,1010,336.0,24.56,51000,Africa
Angola,Maize,1995,1010,336.0,24.56,3517,Africa
Angola,Potatoes,1995,1010,336.0,24.56,76738,Africa
Angola,"Rice, paddy",1995,1010,336.0,24.56,14615,Africa
Angola,Sweet potatoes,1995,1010,336.0,24.56,81138,Africa
Angola,Wheat,1995,1010,336.0,24.56,11855,Africa
Angola,Cassava,1996,1010,40.0,24.11,48077,Africa
Angola,Maize,1996,1010,40.0,24.11,6993,Africa
Angola,Potatoes,1996,1010,40.0,24.11,70000,Africa
Angola,"Rice, paddy",1996,1010,40.0,24.11,17500,Africa
Angola,Sweet potatoes,1996,1010,40.0,24.11,85455,Africa
Angola,Wheat,1996,1010,40.0,24.11,13738,Africa
Angola,Cassava,1997,1010,40.0,24.06,44205,Africa
Angola,Maize,1997,1010,40.0,24.06,5959,Africa
Angola,Potatoes,1997,1010,40.0,24.06,68571,Africa
Angola,"Rice, paddy",1997,1010,40.0,24.06,20000,Africa
Angola,Sweet potatoes,1997,1010,40.0,24.06,78098,Africa
Angola,Wheat,1997,1010,40.0,24.06,15509,Africa
Angola,Cassava,1998,1010,40.0,24.96,55728,Africa
Angola,Maize,1998,1010,40.0,24.96,7396,Africa
Angola,Potatoes,1998,1010,40.0,24.96,62724,Africa
Angola,"Rice, paddy",1998,1010,40.0,24.96,20000,Africa
Angola,Sweet potatoes,1998,1010,40.0,24.96,76256,Africa
Angola,Wheat,1998,1010,40.0,24.96,17143,Africa
Angola,Cassava,1999,1010,40.0,24.37,59821,Africa
Angola,Maize,1999,1010,40.0,24.37,6361,Africa
Angola,Potatoes,1999,1010,40.0,24.37,54597,Africa
Angola,"Rice, paddy",1999,1010,40.0,24.37,14235,Africa
Angola,Sweet potatoes,1999,1010,40.0,24.37,82865,Africa
Angola,Wheat,1999,1010,40.0,24.37,17391,Africa
Angola,Cassava,2000,1010,40.0,24.41,82992,Africa
Angola,Maize,2000,1010,40.0,24.41,5745,Africa
Angola,Potatoes,2000,1010,40.0,24.41,29885,Africa
Angola,"Rice, paddy",2000,1010,40.0,24.41,13454,Africa
Angola,Sorghum,2000,1010,40.0,24.41,3333,Africa
Angola,Soybeans,2000,1010,40.0,24.41,2333,Africa
Angola,Sweet potatoes,2000,1010,40.0,24.41,34938,Africa
Angola,Wheat,2000,1010,40.0,24.41,17023,Africa
Angola,Cassava,2001,1010,40.0,24.43,94072,Africa
Angola,Maize,2001,1010,40.0,24.43,5754,Africa
Angola,Potatoes,2001,1010,40.0,24.43,42552,Africa
Angola,"Rice, paddy",2001,1010,40.0,24.43,13701,Africa
Angola,Sorghum,2001,1010,40.0,24.43,3571,Africa
Angola,Soybeans,2001,1010,40.0,24.43,2500,Africa
Angola,Sweet potatoes,2001,1010,40.0,24.43,44458,Africa
Angola,Wheat,2001,1010,40.0,24.43,16667,Africa
Angola,Cassava,2002,1010,40.0,24.79,110071,Africa
Angola,Maize,2002,1010,40.0,24.79,6706,Africa
Angola,Potatoes,2002,1010,40.0,24.79,42754,Africa
Angola,"Rice, paddy",2002,1010,40.0,24.79,13198,Africa
Angola,Sorghum,2002,1010,40.0,24.79,3400,Africa
Angola,Soybeans,2002,1010,40.0,24.79,2857,Africa
Angola,Sweet potatoes,2002,1010,40.0,24.79,42190,Africa
Angola,Wheat,2002,1010,40.0,24.79,15455,Africa
Angola,Cassava,2004,1010,40.0,24.22,125605,Africa
Angola,Maize,2004,1010,40.0,24.22,5404,Africa
Angola,Potatoes,2004,1010,40.0,24.22,20150,Africa
Angola,"Rice, paddy",2004,1010,40.0,24.22,11584,Africa
Angola,Sorghum,2004,1010,40.0,24.22,3333,Africa
Angola,Soybeans,2004,1010,40.0,24.22,3600,Africa
Angola,Sweet potatoes,2004,1010,40.0,24.22,45360,Africa
Angola,Wheat,2004,1010,40.0,24.22,12442,Africa
Angola,Cassava,2005,1010,40.0,24.41,117628,Africa
Angola,Maize,2005,1010,40.0,24.41,6736,Africa
Angola,Potatoes,2005,1010,40.0,24.41,23646,Africa
Angola,"Rice, paddy",2005,1010,40.0,24.41,6977,Africa
Angola,Sorghum,2005,1010,40.0,24.41,3333,Africa
Angola,Soybeans,2005,1010,40.0,24.41,3793,Africa
Angola,Sweet potatoes,2005,1010,40.0,24.41,46159,Africa
Angola,Wheat,2005,1010,40.0,24.41,10946,Africa
Angola,Cassava,2006,1010,40.0,24.14,117201,Africa
Angola,Maize,2006,1010,40.0,24.14,4687,Africa
Angola,Potatoes,2006,1010,40.0,24.14,52148,Africa
Angola,"Rice, paddy",2006,1010,40.0,24.14,4947,Africa
Angola,Sorghum,2006,1010,40.0,24.14,4091,Africa
Angola,Soybeans,2006,1010,40.0,24.14,4286,Africa
Angola,Sweet potatoes,2006,1010,40.0,24.14,44240,Africa
Angola,Wheat,2006,1010,40.0,24.14,10000,Africa
Angola,Cassava,2007,1010,40.0,24.24,115387,Africa
Angola,Maize,2007,1010,40.0,24.24,5091,Africa
Angola,Potatoes,2007,1010,40.0,24.24,62138,Africa
Angola,"Rice, paddy",2007,1010,40.0,24.24,5143,Africa
Angola,Sorghum,2007,1010,40.0,24.24,4031,Africa
Angola,Soybeans,2007,1010,40.0,24.24,6883,Africa
Angola,Sweet potatoes,2007,1010,40.0,24.24,58855,Africa
Angola,Wheat,2007,1010,40.0,24.24,10000,Africa
Angola,Cassava,2008,1010,40.0,24.27,148084,Africa
Angola,Maize,2008,1010,40.0,24.27,7946,Africa
Angola,Potatoes,2008,1010,40.0,24.27,85085,Africa
Angola,"Rice, paddy",2008,1010,40.0,24.27,5084,Africa
Angola,Sorghum,2008,1010,40.0,24.27,929,Africa
Angola,Soybeans,2008,1010,40.0,24.27,8575,Africa
Angola,Sweet potatoes,2008,1010,40.0,24.27,65437,Africa
Angola,Wheat,2008,1010,40.0,24.27,10000,Africa
Angola,Cassava,2009,1010,40.0,24.33,151759,Africa
Angola,Maize,2009,1010,40.0,24.33,6614,Africa
Angola,Potatoes,2009,1010,40.0,24.33,86509,Africa
Angola,"Rice, paddy",2009,1010,40.0,24.33,6028,Africa
Angola,Sorghum,2009,1010,40.0,24.33,2480,Africa
Angola,Soybeans,2009,1010,40.0,24.33,4449,Africa
Angola,Sweet potatoes,2009,1010,40.0,24.33,66475,Africa
Angola,Wheat,2009,1010,40.0,24.33,10000,Africa
Angola,Cassava,2010,1010,40.0,24.44,155782,Africa
Angola,Maize,2010,1010,40.0,24.44,7200,Africa
Angola,Potatoes,2010,1010,40.0,24.44,87425,Africa
Angola,"Rice, paddy",2010,1010,40.0,24.44,7403,Africa
Angola,Sorghum,2010,1010,40.0,24.44,2814,Africa
Angola,Soybeans,2010,1010,40.0,24.44,4446,Africa
Angola,Sweet potatoes,2010,1010,40.0,24.44,63001,Africa
Angola,Wheat,2010,1010,40.0,24.44,10526,Africa
Angola,Cassava,2011,1010,40.0,24.15,133649,Africa
Angola,Maize,2011,1010,40.0,24.15,7376,Africa
Angola,Potatoes,2011,1010,40.0,24.15,81366,Africa
Angola,"Rice, paddy",2011,1010,40.0,24.15,8914,Africa
Angola,Sorghum,2011,1010,40.0,24.15,3320,Africa
Angola,Soybeans,2011,1010,40.0,24.15,5294,Africa
Angola,Sweet potatoes,2011,1010,40.0,24.15,65512,Africa
Angola,Wheat,2011,1010,40.0,24.15,10959,Africa
Angola,Cassava,2012,1010,40.0,24.24,100073,Africa
Angola,Maize,2012,1010,40.0,24.24,7770,Africa
Angola,Potatoes,2012,1010,40.0,24.24,69381,Africa
Angola,"Rice, paddy",2012,1010,40.0,24.24,7703,Africa
Angola,Sorghum,2012,1010,40.0,24.24,998,Africa
Angola,Soybeans,2012,1010,40.0,24.24,1641,Africa
Angola,Sweet potatoes,2012,1010,40.0,24.24,52954,Africa
Angola,Wheat,2012,1010,40.0,24.24,11258,Africa
Angola,Cassava,2013,1010,40.0,24.55,140517,Africa
Angola,Maize,2013,1010,40.0,24.55,9467,Africa
Angola,Potatoes,2013,1010,40.0,24.55,63303,Africa
Angola,"Rice, paddy",2013,1010,40.0,24.55,12744,Africa
Angola,Sorghum,2013,1010,40.0,24.55,2415,Africa
Angola,Soybeans,2013,1010,40.0,24.55,4405,Africa
Angola,Sweet potatoes,2013,1010,40.0,24.55,73409,Africa
Angola,Wheat,2013,1010,40.0,24.55,9022,Africa
Argentina,Cassava,1990,591,26156.0,17.46,100000,South America
Argentina,Cassava,1990,591,26156.0,17.67,100000,South America
Argentina,Maize,1990,591,26156.0,17.46,34608,South America
Argentina,Maize,1990,591,26156.0,17.67,34608,South America
Argentina,Potatoes,1990,591,26156.0,17.46,202747,South America
Argentina,Potatoes,1990,591,26156.0,17.67,202747,South America
Argentina,"Rice, paddy",1990,591,26156.0,17.46,36709,South America
Argentina,"Rice, paddy",1990,591,26156.0,17.67,36709,South America
Argentina,Sorghum,1990,591,26156.0,17.46,28116,South America
Argentina,Sorghum,1990,591,26156.0,17.67,28116,South America
Argentina,Soybeans,1990,591,26156.0,17.46,21566,South America
Argentina,Soybeans,1990,591,26156.0,17.67,21566,South America
Argentina,Sweet potatoes,1990,591,26156.0,17.46,131864,South America
Argentina,Sweet potatoes,1990,591,26156.0,17.67,131864,South America
Argentina,Wheat,1990,591,26156.0,17.46,18947,South America
Argentina,Wheat,1990,591,26156.0,17.67,18947,South America
Argentina,Cassava,1991,591,26156.0,17.64,100000,South America
Argentina,Cassava,1991,591,26156.0,17.86,100000,South America
Argentina,Maize,1991,591,26156.0,17.64,40444,South America
Argentina,Maize,1991,591,26156.0,17.86,40444,South America
Argentina,Potatoes,1991,591,26156.0,17.64,205692,South America
Argentina,Potatoes,1991,591,26156.0,17.86,205692,South America
Argentina,"Rice, paddy",1991,591,26156.0,17.64,40294,South America
Argentina,"Rice, paddy",1991,591,26156.0,17.86,40294,South America
Argentina,Sorghum,1991,591,26156.0,17.64,33320,South America
Argentina,Sorghum,1991,591,26156.0,17.86,33320,South America
Argentina,Soybeans,1991,591,26156.0,17.64,22750,South America
Argentina,Soybeans,1991,591,26156.0,17.86,22750,South America
Argentina,Sweet potatoes,1991,591,26156.0,17.64,131364,South America
Argentina,Sweet potatoes,1991,591,26156.0,17.86,131364,South America
Argentina,Wheat,1991,591,26156.0,17.64,18972,South America
Argentina,Wheat,1991,591,26156.0,17.86,18972,South America
Argentina,Cassava,1992,591,26156.0,17.09,100000,South America
Argentina,Cassava,1992,591,26156.0,17.51,100000,South America
Argentina,Maize,1992,591,26156.0,17.09,45237,South America
Argentina,Maize,1992,591,26156.0,17.51,45237,South America
Argentina,Potatoes,1992,591,26156.0,17.09,199039,South America
Argentina,Potatoes,1992,591,26156.0,17.51,199039,South America
Argentina,"Rice, paddy",1992,591,26156.0,17.09,52075,South America
Argentina,"Rice, paddy",1992,591,26156.0,17.51,52075,South America
Argentina,Sorghum,1992,591,26156.0,17.09,36217,South America
Argentina,Sorghum,1992,591,26156.0,17.51,36217,South America
Argentina,Soybeans,1992,591,26156.0,17.09,22915,South America
Argentina,Soybeans,1992,591,26156.0,17.51,22915,South America
Argentina,Sweet potatoes,1992,591,26156.0,17.09,127273,South America
Argentina,Sweet potatoes,1992,591,26156.0,17.51,127273,South America
Argentina,Wheat,1992,591,26156.0,17.09,21809,South America
Argentina,Wheat,1992,591,26156.0,17.51,21809,South America
Argentina,Cassava,1993,591,26156.0,17.32,100000,South America
Argentina,Cassava,1993,591,26156.0,17.53,100000,South America
Argentina,Maize,1993,591,26156.0,17.32,43552,South America
Argentina,Maize,1993,591,26156.0,17.53,43552,South America
Argentina,Potatoes,1993,591,26156.0,17.32,210314,South America
Argentina,Potatoes,1993,591,26156.0,17.53,210314,South America
Argentina,"Rice, paddy",1993,591,26156.0,17.32,43559,South America
Argentina,"Rice, paddy",1993,591,26156.0,17.53,43559,South America
Argentina,Sorghum,1993,591,26156.0,17.32,39529,South America
Argentina,Sorghum,1993,591,26156.0,17.53,39529,South America
Argentina,Soybeans,1993,591,26156.0,17.32,21589,South America
Argentina,Soybeans,1993,591,26156.0,17.53,21589,South America
Argentina,Sweet potatoes,1993,591,26156.0,17.32,122955,South America
Argentina,Sweet potatoes,1993,591,26156.0,17.53,122955,South America
Argentina,Wheat,1993,591,26156.0,17.32,23272,South America
Argentina,Wheat,1993,591,26156.0,17.53,23272,South America
Argentina,Cassava,1994,591,30195.0,18.17,100000,South America
Argentina,Cassava,1994,591,30195.0,18.31,100000,South America
Argentina,Maize,1994,591,30195.0,18.17,42371,South America
Argentina,Maize,1994,591,30195.0,18.31,42371,South America
