bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.0,1410,5060,1.0,0,0,4,910,500,1956,0,410000.0
4,2.5,3450,39683,2.0,0,0,3,3450,0,2002,0,720000.0
3,2.5,2350,5100,2.0,0,0,3,2350,0,2003,0,390000.0
4,2.5,1900,5889,2.0,0,0,3,1900,0,1992,0,360000.0
2,1.0,2020,6720,1.0,0,0,3,1010,1010,1948,0,355000.0
3,1.5,1680,8712,1.0,0,0,3,1680,0,1964,0,356000.0
3,1.0,960,6634,1.0,0,0,3,960,0,1952,0,315000.0
3,1.5,2140,3600,2.0,0,0,3,1900,240,1925,0,940000.0
5,2.25,2660,8400,1.5,0,0,5,2660,0,1961,0,305000.0
3,3.25,2770,6278,2.0,0,0,3,1980,790,2006,0,461000.0
2,2.25,1610,2040,2.0,0,0,4,1610,0,1979,0,215000.0
2,1.75,1030,1066,2.0,0,0,3,765,265,2006,0,335000.0
4,2.5,1980,7403,2.0,0,0,3,1980,0,1988,0,243500.0
5,2.75,3520,6353,2.0,0,0,4,3520,0,2001,0,1099880.0
3,1.0,1200,10500,1.0,0,0,3,1200,0,1962,0,153000.0
3,1.5,1580,5000,1.0,0,0,3,1290,290,1939,0,430000.0
3,1.5,1580,5000,1.0,0,0,3,1290,290,1939,0,700000.0
4,2.5,3300,10250,1.0,0,0,3,2390,910,1946,1991,905000.0
3,1.75,1960,15681,1.0,0,0,3,1960,0,1967,0,247500.0
4,1.5,1160,6400,1.0,0,0,4,1160,0,1975,0,199000.0
3,1.75,1810,41800,1.0,0,0,5,1210,600,1980,0,314000.0
3,2.5,2320,36847,2.0,0,2,3,2320,0,1992,0,437500.0
3,2.5,2070,13241,1.5,0,0,5,1270,800,1910,0,850830.0
3,2.0,1980,3478,1.5,0,0,4,1440,540,1929,0,555000.0
3,2.25,2190,107593,2.0,0,0,4,2190,0,1983,0,699950.0
3,2.5,2920,8113,2.0,0,0,3,2920,0,1950,2010,1088000.0
3,1.0,1210,33919,1.0,0,0,3,1210,0,1954,0,290000.0
3,2.5,2340,10005,1.0,0,0,4,1460,880,1978,0,375000.0
3,1.0,1670,4005,1.5,0,0,4,1170,500,1939,0,460000.0
2,1.75,1240,2493,1.0,0,0,4,1240,0,1985,0,188500.0
4,2.5,3140,28037,2.0,0,0,4,3140,0,1991,0,680000.0
5,1.75,2030,12342,2.0,0,0,4,2030,0,1942,0,470000.0
4,2.5,2310,9624,2.0,0,0,3,2310,0,1984,0,597750.0
3,1.75,1260,3328,1.0,0,0,5,700,560,1905,0,570000.0
3,1.75,1540,12600,1.0,0,0,4,1160,380,1980,0,272500.0
3,1.75,2080,5969,1.0,0,2,3,1080,1000,1971,0,329950.0
4,2.5,3230,16171,2.0,0,3,3,2520,710,2001,0,480000.0
3,3.5,4380,6350,2.0,0,0,3,2780,1600,1900,1999,740500.0
3,3.5,1590,1102,3.0,0,0,3,1590,0,2010,0,518500.0
2,1.0,880,6780,1.0,0,0,4,880,0,1945,0,205425.0
4,2.0,1570,9600,1.0,0,0,3,1570,0,1950,0,171800.0
4,1.0,1610,2982,1.5,0,0,4,1610,0,1925,0,535000.0
3,2.5,2400,6474,1.0,0,2,3,1560,840,1964,0,660000.0
3,2.0,1450,9132,1.0,0,0,3,1450,0,1987,0,391500.0
2,1.0,770,6000,1.0,0,0,3,770,0,1953,0,395000.0
4,1.75,2100,4400,1.5,0,0,5,1720,380,1924,0,445000.0
3,2.25,2910,10204,2.0,0,0,3,2910,0,1990,0,770000.0
4,2.75,2750,17789,1.5,0,0,3,1980,770,1914,1992,1450000.0
3,2.25,2100,8201,1.0,0,2,3,1620,480,1967,0,445000.0
4,2.25,2160,8811,1.0,0,0,3,1360,800,1978,0,260000.0
5,3.5,2320,4960,2.0,0,0,5,1720,600,1926,0,822500.0
4,2.5,2070,4310,2.0,0,0,3,2070,0,2004,0,430000.0
3,1.75,1060,7875,1.0,0,0,4,1060,0,1986,0,212000.0
4,2.25,2010,9603,1.0,0,0,3,1440,570,1986,0,660500.0
3,3.5,3950,111078,1.5,0,0,3,2460,1490,1989,0,784000.0
3,2.5,2010,2287,2.0,0,0,3,1390,620,2014,0,453246.0
4,3.5,2140,2278,3.0,0,0,3,2140,0,2005,0,675000.0
3,1.75,1320,17390,1.0,0,0,4,1320,0,1956,0,199000.0
4,1.75,2020,7840,1.0,0,0,3,1010,1010,1968,0,220000.0
4,2.25,2590,10002,1.0,0,0,4,1340,1250,1968,0,452000.0
2,1.0,1190,4440,1.0,0,0,3,1190,0,1981,0,382500.0
3,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0,519950.0
2,1.0,1110,3200,1.0,0,0,3,1110,0,1925,0,665000.0
5,2.5,2820,9375,1.0,0,0,4,1550,1270,1968,0,527700.0
3,1.0,1610,8579,1.0,0,0,4,1010,600,1962,0,205000.0
3,1.0,1060,8097,1.0,0,0,4,940,120,1923,0,420000.0
4,2.25,2030,8517,1.0,0,0,4,1380,650,1961,0,500000.0
4,2.5,3670,315374,2.0,0,0,4,3670,0,1994,0,921500.0
4,1.0,2550,4000,2.0,0,0,3,2370,180,1905,0,890000.0
2,2.5,2420,60984,2.0,0,0,3,2420,0,2007,0,430000.0
5,2.0,2260,12500,1.0,0,0,4,1130,1130,1960,0,258000.0
3,1.0,1430,3455,1.0,0,0,3,980,450,1947,0,511000.0
3,2.0,1360,3090,2.0,0,0,3,1360,0,1990,0,532170.0
3,1.0,1110,5000,1.5,0,0,3,1110,0,1947,0,560000.0
3,1.0,1250,8200,1.0,0,0,4,1250,0,1954,0,282950.0
4,3.25,5180,19850,2.0,0,3,3,3540,1640,2006,0,2250000.0
1,1.0,700,5100,1.0,0,0,3,700,0,1942,0,350000.0
3,1.0,1180,7669,1.0,0,0,4,1180,0,1967,0,215000.0
5,3.5,3960,25245,2.0,0,0,3,2500,1460,1996,0,650000.0
4,2.75,2640,7500,1.0,0,0,3,1620,1020,1967,0,320000.0
3,2.0,1270,7198,1.5,0,0,3,1270,0,1916,2013,247000.0
4,1.75,1760,11180,1.0,0,0,4,1760,0,1968,0,320000.0
5,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,0,255000.0
3,1.75,1780,9660,1.0,0,0,3,1780,0,1962,0,438000.0
3,2.5,3400,16603,2.0,0,0,3,3400,0,2000,0,900000.0
3,2.75,1910,7280,1.0,0,0,3,1160,750,1979,0,441000.0
3,2.0,2020,38332,1.0,0,0,4,1010,1010,1975,0,420000.0
3,1.75,1580,7000,1.0,0,0,3,1180,400,1976,0,370000.0
2,1.75,1340,7250,1.0,0,0,5,700,640,1949,0,269950.0
4,2.5,2680,4499,2.0,0,0,3,2680,0,1999,0,807100.0
3,2.5,2680,9750,1.0,0,0,4,1610,1070,1979,0,653000.0
3,2.0,1370,8336,1.0,0,0,5,1370,0,1964,0,371500.0
3,1.75,1560,21000,1.0,0,0,3,1560,0,1954,0,284000.0
3,1.75,2160,7140,1.0,0,0,4,1670,490,1978,0,272000.0
3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,0,313000.0
4,2.5,3880,35003,2.0,0,0,3,2570,1310,1984,0,917500.0
4,2.25,2590,8190,2.0,0,0,4,2590,0,1980,0,673000.0
3,2.5,1120,1100,2.0,0,0,3,820,300,2008,0,425000.0
5,2.75,1970,5400,1.0,0,0,3,1320,650,1986,0,399950.0
3,1.0,1220,4800,1.0,0,0,3,1220,0,1901,0,385000.0
3,1.5,1950,7560,1.0,0,2,4,1320,630,1975,0,269950.0
2,1.0,1350,8220,1.0,0,0,3,1060,290,1949,0,330000.0
3,2.5,1670,5797,2.0,0,0,3,1670,0,1988,0,260000.0
4,3.0,2380,5125,1.5,0,0,4,1680,700,1925,0,470000.0
4,3.0,2440,9600,2.0,0,0,5,2440,0,1961,0,589000.0
2,1.5,1050,3419,2.0,0,0,3,1050,0,1996,0,163500.0
4,2.75,3130,13412,2.0,0,0,3,2140,990,1993,0,835000.0
5,3.0,4090,12850,1.0,0,2,4,2090,2000,1986,0,1095000.0
4,1.75,1490,10000,1.0,0,0,4,1100,390,1969,0,269000.0
3,2.5,1900,8744,2.0,0,0,3,1900,0,1987,0,560000.0
4,1.0,1330,2400,1.5,0,0,4,1330,0,1901,0,615000.0
3,2.25,2230,10026,1.0,0,0,3,1430,800,1975,0,585188.0
3,1.75,1650,9480,1.0,0,0,3,1220,430,1977,0,305000.0
3,1.0,1190,8820,1.0,0,0,3,1190,0,1959,0,166950.0
3,2.5,2140,9897,1.0,0,0,4,2140,0,1959,0,799000.0
3,2.5,2180,7508,1.0,0,0,4,1420,760,1962,0,400000.0
3,1.0,1060,10228,1.0,0,0,3,1060,0,1948,0,230000.0
3,2.5,1690,5025,2.0,0,0,3,1690,0,2003,0,256883.0
4,2.0,1970,6480,1.5,0,0,5,1130,840,1920,0,423000.0
3,2.5,2150,4084,2.0,0,0,3,2150,0,2007,0,465000.0
3,2.5,1910,66211,2.0,0,0,3,1910,0,1997,0,440000.0
3,1.75,1350,155073,1.0,0,0,4,1350,0,1969,0,385000.0
3,1.0,860,11725,1.0,0,0,4,860,0,1943,0,210000.0
3,2.5,1940,14952,2.0,0,0,3,1940,0,1994,0,297000.0
3,1.0,1010,5000,1.0,0,0,3,1010,0,1952,0,470000.0
3,1.5,1300,7370,1.0,0,0,4,900,400,1976,0,226500.0
3,1.0,910,8450,1.0,0,0,4,910,0,1962,0,274250.0
4,1.75,2480,11010,1.0,0,0,4,1630,850,1966,0,840000.0
3,2.5,2440,4587,2.0,0,0,3,2440,0,2010,0,677900.0
3,1.0,1010,5864,1.0,0,0,3,1010,0,1915,0,425000.0
2,0.75,900,9600,1.0,0,0,3,900,0,1941,0,180250.0
6,3.0,2300,3404,2.0,0,0,3,1600,700,1920,1994,464000.0
4,2.25,1550,7579,2.0,0,0,3,1550,0,1993,0,320000.0
3,2.25,1270,1566,2.0,0,0,3,1060,210,2014,0,625504.0
4,2.5,2240,12032,1.0,0,0,3,2240,0,1983,0,592500.0
3,2.5,2714,17936,2.0,0,0,3,2714,0,2005,0,465000.0
4,2.75,1720,6270,2.0,0,0,3,1720,0,1978,0,477000.0
2,1.0,850,16400,1.0,0,0,3,850,0,1923,0,280000.0
5,3.0,3300,33474,1.0,0,3,3,1870,1430,1957,1991,1505000.0
3,2.5,2250,5692,2.0,0,0,3,2250,0,2000,0,445838.0
2,2.25,3900,14864,1.0,0,3,3,1950,1950,1947,0,1072000.0
2,1.5,1320,10800,1.0,0,0,4,1320,0,1947,0,467000.0
4,2.5,2760,6440,2.0,0,0,3,2760,0,1999,0,686000.0
3,2.0,1750,9750,1.0,0,0,3,1350,400,1961,0,279950.0
4,2.25,2330,19436,2.0,0,0,3,2330,0,1987,0,527000.0
3,2.25,2220,16020,1.0,0,0,4,1780,440,1966,0,325000.0
3,2.25,2020,8379,2.0,0,0,3,2020,0,1994,0,328000.0
3,2.25,1250,7500,1.0,0,0,5,1250,0,1942,0,390000.0
2,2.0,1510,6516,1.0,0,0,3,1510,0,2005,0,479950.0
4,2.25,1720,9753,1.0,0,0,4,1120,600,1978,0,264950.0
3,1.0,1430,15246,1.0,0,0,4,980,450,1961,0,235000.0
3,2.5,1480,4729,2.0,0,0,3,1480,0,2004,0,516500.0
2,1.75,1450,15798,2.0,1,4,3,1230,220,1915,1978,655000.0
4,2.75,2280,15347,1.0,0,0,5,2280,0,1960,0,500000.0
6,2.75,2940,7350,1.0,0,0,3,1780,1160,1978,0,315000.0
2,1.0,1000,10200,1.0,0,0,3,1000,0,1961,0,213000.0
3,1.5,2480,5280,1.5,0,0,5,1620,860,1947,0,475000.0
5,4.0,3760,28040,2.0,0,0,3,3760,0,1983,0,1025000.0
3,2.0,2220,94300,1.0,0,0,5,1640,580,1976,0,416000.0
4,1.0,1970,4740,1.5,0,0,3,1670,300,1904,2005,410000.0
3,3.5,3830,221284,2.0,0,0,3,3530,300,1993,0,800000.0
6,2.5,4410,14034,1.0,0,2,4,2350,2060,1965,0,472000.0
3,1.75,1430,8505,1.0,0,0,4,1430,0,1968,0,225000.0
2,1.0,830,6000,1.0,0,0,3,830,0,1940,0,210000.0
2,1.0,1430,5000,1.5,0,0,2,1430,0,1925,0,455000.0
3,1.0,1300,8316,1.0,0,0,4,1300,0,1954,0,225000.0
2,1.0,1030,3060,1.0,0,2,4,790,240,1918,0,480000.0
3,2.5,2740,11872,2.0,0,0,3,2740,0,1990,0,363000.0
4,2.5,3650,8354,1.0,1,4,3,1830,1820,2000,0,2400000.0
2,1.5,720,5120,1.0,0,0,3,720,0,1954,0,181000.0
4,2.0,2010,7312,1.0,0,0,4,2010,0,1976,0,250000.0
3,1.75,1560,3000,1.0,0,0,4,770,790,1918,0,481000.0
3,2.0,1810,7209,1.0,0,0,4,1240,570,1978,0,260000.0
4,2.5,3360,7685,2.0,0,0,3,3360,0,2001,0,455000.0
3,2.25,1510,36224,2.0,0,0,3,1510,0,1991,0,415000.0
3,1.0,1400,3538,1.0,0,0,3,800,600,1953,0,349500.0
3,2.5,1730,7442,2.0,0,0,3,1730,0,1987,0,245000.0
2,2.0,1420,9191,1.5,0,2,5,1420,0,1928,0,592500.0
4,1.75,2360,7620,1.0,0,0,4,1180,1180,1955,0,385000.0
3,1.75,1580,11455,1.0,0,0,4,1200,380,1974,0,315000.0
3,1.0,1230,10170,1.0,0,0,3,1230,0,1979,0,255000.0
4,2.5,2460,4425,2.0,0,0,3,2460,0,2006,0,693000.0
3,1.0,1660,4400,1.5,0,0,3,1460,200,1911,0,780000.0
3,1.75,1270,8470,1.0,0,0,4,1270,0,1960,0,237000.0
3,2.25,2100,40510,2.0,0,0,3,1320,780,1979,0,525000.0
2,1.0,770,5040,1.0,0,0,3,770,0,1930,0,425000.0
1,0.75,760,10079,1.0,1,4,5,760,0,1936,0,369900.0
4,2.5,1700,7280,2.0,0,0,4,1700,0,1988,0,290000.0
3,1.0,1120,10701,1.0,0,0,3,1120,0,1954,0,285000.0
2,1.0,1070,4500,1.0,0,0,3,1070,0,1937,0,415000.0
3,2.5,2070,9900,1.0,0,0,3,1420,650,1979,0,272500.0
4,3.25,5050,20100,1.5,0,2,3,4750,300,1982,2008,2900000.0
4,4.75,5310,57346,2.0,0,0,4,5310,0,1989,0,1365000.0
2,1.0,1040,7538,1.0,0,0,4,1040,0,1939,0,436000.0
3,1.0,1700,11390,1.0,0,0,4,1700,0,1967,0,210000.0
3,1.0,1300,5898,1.0,0,0,3,1300,0,1961,0,236000.0
3,1.75,1080,1306,1.0,0,0,3,580,500,1954,2003,331000.0
3,2.5,2653,4510,2.0,0,0,3,2653,0,2006,0,365000.0
3,2.0,2290,16258,1.0,0,0,5,2290,0,1960,0,450000.0
4,2.75,3820,26300,2.0,0,0,3,2850,970,2014,0,770000.0
4,2.5,2210,49375,1.0,0,0,3,2210,0,1997,0,455000.0
3,1.75,2390,6000,1.0,0,0,3,1240,1150,1908,0,405000.0
4,1.75,2600,11325,1.0,0,0,4,1610,990,1969,0,304900.0
2,1.0,860,5265,1.0,0,0,3,860,0,1931,0,170000.0
5,3.0,3830,8480,2.0,0,1,5,2630,1200,1905,1994,2050000.0
4,2.5,3500,7048,2.0,0,0,3,3500,0,2005,0,780000.0
3,3.0,2420,13959,1.0,0,0,4,1740,680,1988,0,330000.0
4,2.5,2720,8666,2.0,0,0,3,2720,0,1992,0,370000.0
5,2.25,2500,13500,1.0,0,0,3,1850,650,1979,0,467000.0
3,1.75,1670,6720,1.0,0,0,3,1140,530,1980,0,405000.0
5,2.25,2900,10300,1.0,0,0,3,1450,1450,1985,0,675000.0
2,1.0,1640,14100,1.0,0,0,4,1140,500,1954,0,500000.0
4,2.5,1890,15770,2.0,0,0,4,1890,0,1968,0,389999.0
4,1.75,2950,9025,1.0,0,2,4,1780,1170,1975,0,630000.0
4,2.5,2160,9528,2.0,0,0,3,2160,0,1992,0,360000.0
4,3.0,3280,11060,2.0,0,0,3,2270,1010,1986,0,580000.0
3,2.0,1970,4166,2.0,0,3,5,1270,700,1929,0,550000.0
4,2.5,3360,22111,2.0,0,0,3,3360,0,1994,0,879000.0
3,2.0,1320,8959,1.0,0,0,3,1320,0,1993,0,265000.0
3,2.5,2650,7286,2.0,0,0,3,2650,0,1990,0,446500.0
3,1.5,2030,8880,1.0,0,0,3,1330,700,1963,0,404000.0
3,1.75,1590,11914,1.0,0,2,3,1090,500,1957,0,267500.0
4,5.0,4550,18641,1.0,1,4,3,2600,1950,2002,0,3075000.0
3,2.5,2440,7632,2.0,0,0,3,2440,0,1998,0,335000.0
3,2.5,1940,9000,1.0,0,0,4,970,970,1948,0,576000.0
3,2.5,2040,3810,2.0,0,0,3,2040,0,2006,0,208633.0
3,2.25,2200,8750,1.0,0,0,4,1120,1080,1964,0,315000.0
3,1.75,1920,3300,1.0,0,0,4,960,960,1913,0,725000.0
4,2.75,1800,7750,1.0,0,0,4,1400,400,1965,0,550000.0
4,2.25,2180,7297,2.0,0,0,3,2180,0,1984,0,610750.0
2,1.0,1010,5000,1.5,0,0,4,1010,0,1908,0,550700.0
4,2.75,3320,10574,2.0,0,0,5,2220,1100,1960,0,665000.0
4,2.5,2370,4000,1.5,0,2,5,1980,390,1928,0,834000.0
5,1.75,1660,78408,1.5,0,0,3,1660,0,1915,0,201000.0
5,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,2384000.0
4,3.25,4290,12103,1.0,0,3,3,2690,1600,1997,0,1384000.0
4,3.25,4290,12103,1.0,0,3,3,2690,1600,1997,0,1400000.0
4,2.25,1950,7700,1.0,0,0,3,1350,600,1979,0,305000.0
3,2.0,2590,14052,1.0,0,0,5,1720,870,1948,0,487000.0
3,2.5,1930,64904,1.0,0,0,4,1930,0,1988,0,390000.0
2,1.0,1470,3864,1.0,0,0,4,1170,300,1916,0,548000.0
4,1.0,800,8775,1.0,0,0,3,800,0,1943,0,268750.0
5,2.75,3150,7119,2.0,0,0,3,3150,0,2013,0,819900.0
3,2.25,2030,16200,2.0,0,0,3,2030,0,1984,0,520000.0
3,2.0,1450,11204,1.0,0,0,3,1450,0,2003,0,230000.0
3,1.75,1510,10248,1.0,0,0,3,1510,0,1969,0,240000.0
2,1.0,1240,12092,1.0,0,0,3,960,280,1922,1984,232000.0
2,1.0,1240,12092,1.0,0,0,3,960,280,1922,1984,240500.0
3,2.5,3030,45004,2.0,0,0,3,3030,0,1987,0,274975.0
4,2.0,2050,4400,1.5,0,0,4,2050,0,1922,0,740000.0
3,1.0,1000,7636,1.0,0,0,2,1000,0,1952,0,186375.0
3,2.25,2370,10289,1.0,0,0,4,1590,780,1977,0,790000.0
4,3.5,2800,6750,2.0,0,0,3,1890,910,1951,2002,880000.0
6,1.75,2240,11180,2.0,0,0,4,2240,0,1955,0,279000.0
3,2.0,1810,10530,1.0,0,2,3,1810,0,1991,0,295000.0
2,1.0,1070,5000,1.0,0,0,3,1070,0,1924,0,640000.0
4,2.0,2490,9525,2.0,0,0,5,2490,0,1968,0,940000.0
4,2.5,1960,5238,2.0,0,0,3,1960,0,2003,0,260000.0
3,2.75,2930,5569,1.0,0,0,3,1860,1070,2004,0,559900.0
4,2.0,1510,3500,1.5,0,0,5,1510,0,1911,0,791500.0
3,1.75,1420,8250,1.0,0,0,3,1420,0,1954,0,265000.0
3,1.75,1740,11547,1.0,0,0,3,1740,0,1954,0,245000.0
4,1.75,2560,43995,2.0,0,0,4,2560,0,1962,0,485000.0
4,3.5,3040,8414,2.0,0,0,3,2420,620,2010,0,684000.0
3,1.75,2500,6840,1.0,0,0,3,1300,1200,1957,0,425000.0
4,1.75,1275,20000,1.0,0,0,4,1275,0,1991,0,309600.0
4,2.5,2580,5823,2.0,0,0,3,2580,0,2002,0,552250.0
4,1.0,1000,7134,1.0,0,0,3,1000,0,1943,0,165000.0
4,1.0,1000,7134,1.0,0,0,3,1000,0,1943,0,239900.0
2,1.0,1070,32633,1.0,0,0,4,1070,0,1930,0,320000.0
3,2.0,1390,13464,1.0,0,0,4,1390,0,1987,0,206600.0
4,1.75,2500,7690,1.0,0,0,3,1250,1250,1973,0,387000.0
1,0.75,560,12120,1.0,0,0,3,560,0,1967,0,299000.0
4,2.75,2270,10460,2.0,0,0,3,2270,0,1965,0,855000.0
3,1.0,1900,14400,1.0,0,0,4,1300,600,1954,0,315000.0
2,1.0,990,3120,1.0,0,2,5,790,200,1907,0,437500.0
4,1.5,1550,19800,1.0,0,0,4,1050,500,1969,0,252000.0
4,1.75,2200,7475,1.0,0,0,5,1100,1100,1955,0,375000.0
4,2.5,1910,4862,2.0,0,0,3,1910,0,2005,0,300000.0
4,1.0,1750,9600,1.5,0,0,4,1750,0,1954,0,420000.0
3,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954,900000.0
3,2.5,2440,5750,2.0,0,2,3,1980,460,2000,0,679900.0
3,2.5,1640,29970,2.0,0,0,3,1640,0,1992,0,463000.0
5,2.5,2760,11340,2.0,0,0,4,2760,0,1978,0,380000.0
4,2.5,1820,7912,2.0,0,0,3,1820,0,1994,0,329500.0
3,2.5,2110,5608,1.0,0,0,3,1340,770,2013,0,604950.0
5,2.5,3040,9570,1.0,0,2,4,1640,1400,1966,0,795000.0
3,2.0,1840,40438,2.0,0,0,3,1840,0,1994,0,465000.0
4,2.5,2990,10400,2.0,0,0,3,2990,0,2002,0,673000.0
4,2.5,3520,15420,2.0,0,0,3,3520,0,1991,0,810000.0
4,2.75,2440,69415,1.0,0,0,4,1910,530,1989,0,785000.0
4,3.0,2090,7500,1.0,0,0,3,1370,720,1986,0,338000.0
3,2.25,1430,7222,2.0,0,0,3,1430,0,1993,0,280000.0
4,2.25,2180,10754,1.0,0,0,5,1100,1080,1954,0,315000.0
4,2.25,2180,10754,1.0,0,0,5,1100,1080,1954,0,530000.0
5,3.0,3450,9914,2.0,0,0,3,3450,0,2004,0,380000.0
